Type,Clients,Time
1,10,30.817301999
1,20,60.195099111
1,30,90.232174867
1,40,120.259720268
1,50,150.312981656
1,60,180.366073608
1,70,210.414123535
1,80,240.462303162
1,90,270.510101318
1,100,300.55809021
2,10,3.148121710
2,20,3.274575802
2,30,3.365883683
2,40,3.476136863
2,50,3.640095117
2,60,3.681912809
2,70,3.848056143
2,80,3.975780978
2,90,4.065234259
2,100,4.168151986
3,10,3.140409970
3,20,3.244832381
3,30,3.360431690
3,40,3.456379870
3,50,3.624739676
3,60,3.667121981
3,70,3.735041296
3,80,3.866691221
3,90,3.982401728
3,100,4.109529472